,reviews,compound,sentiment
0,check smooth enough boarding chaotic herd gate hold seemingly never end period time outside next apron ba silver member notice despite business class nearly empty offer chance move class seat pocket front full previous passenger rubbish arrival heathrow bag take long time reach belt plenty arrive even though suppose priority,-0.4404,Negative
1,although transfer flight heathrow budapest take almost hour flight crew welcome friendly board last minute try reserve vegetarian meal online day flight ask sarah head flight attendant might able provide one find delicious meal premium economy especially care helpful throughout flight flight attendant also offer water juice several time flight also impress wide range entertainment offering include first rate film,0.9689,Positive
2,extremely grateful crew flight ba cape town heathrow bring u home high level professionalism flexibility empathy thank much,0.8016,Positive
3,appalling experience british airway start try check online change seat due repeat website error arrive airport hour early sort staff check counter refuse help brush could even say flight simply say flight full incredibly rude unprofessional ba lounge overcrowd uncomfortable poorly equip wooden utensil limited seat shortly board strike excruciate abdominal pain fear medical emergency ask offloaded staff boarding gate take boarding pas luggage tag ask wait leave sit agony minute eventually ask leave go hospital staff say fine however distress realise take board pas baggage reference ask group wheelchair porter head direction help none assist collapse midway finally stretchered away medic take hospital thankfully receive treatment return home since try retrieve luggage every number try online via airport customer service either unreachable go voicemail simply ring idea bag one help completely unacceptable international airline british airway fail every stage technical support person service medical handling post flight care,-0.9748,Negative
4,good point cabin crew helpful professional mature quantity quality food cleanliness aircraft spotless picture pub forward toilet flight time ba lounge anything special mediocre best food option lack gatwick lounge far superior board usual poor seat pitch club europe product inconsistent hot towel menu give however food deliver trolley economy way course one tray bar offering unless one use call bell park remote stand krakow return krakow lhr queue twenty minute club europe check desk non ba lounge basic late departure time flight minimal food choice board cramp bus walk remote stand menu hot towel however meal order take individually deliver direct galley seat uncomfortable wi fi request tea meal inconsistency service extra cost club europe hard justify improvement cater however product need elevate justify cost,0.9136,Positive
5,decent flight reasonable comfortable seat pilot keep u nicely inform flight progress ba serve biscuit small bottle water free ok sandwich run flight cafe disappointment passenger inflight wifi limit pay access music programme ba offering well aegean level service suitable easterly destination larnaca would certainly fly ba athens event aegean seat fare cheap,0.9231,Positive
6,really like fly british airway particularly new club world seat great privacy screen comfortable enough sleep ba crew engage high spirit clearly must short business class meal service even start hour flight comment receive rather surly look apology cuff excuse member crew section cabin expect ba particularly consider price pay seat fact make pay even choose sit come ba surely good,0.9649,Positive
7,could book online night system arrive early airport check find premium economy seat downgrade economy bad split family wife autistic son sit separately could give minus star would shamble airline,-0.5423,Negative
8,rough experience ba recent year look forward particular flight however turn decent trip staff really engage seem enjoy food acceptable although option pasta chicken long haul flight seating good ife work well,0.9092,Positive
9,comfortable flight ba best excellent start chelsea lounge krug behind bar lounge host welcome friendly food quite par much good onboard first suite spacious comfortable two cabin crew experience friendly professional personable spring action quickly takeoff make bed serve dinner require menu excellent well cook beef fillet delicious salmon starter new nyetimber exceptionally good wine overall service well relaxed intuitive cabin comfortably cool leave flight feeling refresh ba make poor choice late loyalty programme staff still shine really get right flight,0.9939,Positive
10,punta cana terminal b check straightforward separate club world desk agent polite issued boarding card provide voucher vip lounge explain find fast track security unless pay per passenger airport ba vip lounge comfortable quiet due cry baby life flight boarding time group well manage gate staff old style club world seat cabin clean cabin crew hand offer champagne orange juice bottle water drawer white company amenity pack white company duvet clean sealed bag order drink take take drink serve promptly follow dinner order immediately take starter cream leek soup delicious serve warm bread decline main course late choice fillet steak shrimp linguine dessert chocolate mousse cheese biscuit however find main excellent pinot noir south africa refill offer follow dinner get hour sleep find lay flat bed comfortable pretty small duvet pillow great breakfast ho hum orange juice offer bircher muesli fine fruit ripe almost inedible muffin cold dry coffee okay decline breakfast baguette excellent cabin staff read many negative review experience exceed expectation,0.9914,Positive
11,employee venice airport checkin rude u make mistake get gold silver line see sign get counter scold berate u wrong line say know read would let go even apologize say would happy go end line continue discourteous toward u make u feel like terrible people bad customer service experience airline,-0.8807,Negative
12,bag carry trolley everyone one board group force check trolley carry ons ask take laptops battery etc woman board gate rude explain bag nowhere carry laptop stuff need onboard try explain bag withstand carry hold fragile show crack one time check bag visibly small comply carry bag measurement,-0.4588,Negative
13,check security quick gallery lounge pretty much capacity able access b gate lounge short haul gate departure food option reasonable bus aircraft quite new time departure reasonable food drink option pleasant cabin crew bag quickly,0.836,Positive
14,lhr ba gold wing work well pleasant check fast security screen concorde room service attentive c gate board ok nothing special first passenger late ba version first suite privacy door comfortable seat plenty stowage good screen good choice ife amenity kit good quality bedding pillow cushion blanket good excellent menu food well present cabin crew could attentive helpful without obtrusive time departure early arrival bag deliver relatively swiftly priority tag bag first one best ba first flight many year whilst touch middle eastern carrier ba first showing easily best way cross atlantic,0.9913,Positive
15,good service route ba th march cabin crew work hard particularly ivka go throughout flight everything would expect ba use shame cannot say recent flight back singapore business class th feb ba miserable unhappy tetchy crew lazy anything except sleep perhaps ba need promote short haul performer let others go,-0.7579,Negative
16,flight mainly let disagreeable flight attendant queue check cape town good however checkin agent unfamiliar ba size weight rule sport bag wait minute phone call make annoy lounge good gate service excellent organised queue seat good new upgraded club suite zip break amenity kit unusable ba cut corner much offer cocktail service come promptly drink excellent nut go galley ask nut snack go speak male flight attendant look utter distaste temerity ask nuts say come bizarre question say seat e respond flick hand go ask serve stun treat way even cheap restaurant let alone business class premium airline gentleman concern place service hospitality find different line work anyway food good ife work fine wifi work manage hour sleep get plane promptly despite remote stand require bus luggage take quite arrive overall would rude staff member,0.886,Positive
17,another awful experience british airway flight delay nearly hour british airway charge extortionate amount ticket service bad,-0.8316,Negative
18,service rude full attitude food poorly service cabin flight never clean particularly toilet,-0.6437,Negative
19,flight joke four people business class include companion service outrageous crew busy flirt captain go day instead pay attention cabin,-0.296,Negative
20,time british airway manage get everything right price ticket reasonable timing perfect boarding smooth seat comfortable easy reline enable dozing sufficient pitch get table firm enough allow use small laptop mouse pre flight soft drink prosecco offer food drink sufficient best part cabin crew two pe extremely efficient pleasant witty good selection movie screen headset work perfectly,0.9831,Positive
21,seat excellent feel much room official seat pitch ft could sleep couple hour daytime flight blind point book window seat view focus seat quality much smiley face food food middle second meal landing distinctly sub par,0.5719,Positive
22,nightmare get triple security nairobi airport look forward glass something lovely unwind plane fat chance hour half takeoff finally serve drink meal together keep read well ba leg trip crew awful club suite great improvement staff make effort point positive note tell wife seat break could recline go swop gate find another prior receive email within minute check healthy portion avios already add account well customer service,0.9674,Positive
23,prior board gate agent seem pick elderly people ask check relatively small bag contrast staff member look way boisterous group somethings large amount luggage london gatwick marrakech british airway rather disappoint flight hour flight passenger economy offer tiny packet digestive biscuit water offer cabin crew member walk aisle bottle mineral water plastic cup claim run water many passenger even get miserly offering route map captain make brief announcement need use lavatory one cabin crew member rudely draw curtain sit behind lavatory one colleague loudly talk boyfriend ignore elderly man struggle open small door lavatory shall add lavatory unclean water floor one concern seemingly casual approach safety demonstration disembarkation well manage either route competitive day one lot choice use british airway route,-0.6486,Negative
